id	hierarchy	name	project	description	validation	purpose	pre_condition	basic_course	post_condition	exceptions	remarks
JDF Hera	1.2.5	31604	LED control	""	"TEST LEDS ON/OFF AND BRIGHTNESS<br>
<br>
1. Check that LED parameter is default 100 for both LEFT and RIGHT side<br>
<br>
2. Put headlights on<br>
<br>
3. Check that LEDs are very bright on direct sight (handpanel silicon removed)<br>
<br>
4. Change the intensity parameter first to 75 then to 50 then to 25 then to 10 and finally to zero. Check that LEDs intensity decreases on every step and finally LEDs are very dim when set to 0."	""	""	""	""		
JDF Hera	1.2.6	31605	Parameter handling	""	"TEST 1. PARAMETER SENDING IN STARTUP (Table test with debugger)<br>
<br>
1. Start up the system.<br>
<br>
2. Adjust the ACL parameters to non-default values, and write down the parameter values. Use values that can be verified also by system behaviour (adjust joystick values so that you can see that the parameters are correct from the joystick value).<br>
<br>
3. Prepare CANalyzer for logging the parameter CAN messages, or prepare for capturing a CAN log.<br>
<br>
4. Restart the system.<br>
<br>
5. Capture a CAN log from the start-up. Verify from the CAN log that all parameter values that are sent, are exactly the same as set in phase 2.<br>
<br>
6. Verify the operation of the ACL parameter flags in ACL status message. When ACL starts up, the ""INVALID PARAMETERS"" flag must be set. After ACL has received new parameters, the flag must be cleared. When ACL is in parameter receive state, the flag ""SET PARAMETER STATE"" must be set, and when the first parameter is received by ACL, the flag ""RECEIVING PARAMETERS"" must be set.<br>
<br>
7. Verify from joystick values ACL is using the new parameter values.<br>
<br>
<br>
TEST 2. PARAMETER CHANGE IN NORMAL OPERATION<br>
<br>
1. Start up the system.<br>
<br>
2. Adjust ACL left joystick X minimum value parameter. Verify from CAN bus that the new parameter value is sent.<br>
<br>
3. Check that ACL changes state back to normal after receiving new parameter.<br>
<br>
4. Verify from joystick value that ACL is using the new parameter value.<br>
<br>
5. Adjust all ACL parameters, one by one, and verify that all parameters can be adjusted, and the new values are sent after each change, and that the parameters take effect.<br>
<br>
6. Verify the parameter limits for all parameters. Check that an alarm for a parameter exceeding the limits is sent.<br>
<br>
<br>
TEST 3. CHECKSUM FAILURE<br>
<br>
1. Verify ACL parameter checksum verification by sending an invalid checksum. This can be done by sending a log file to CAN bus for the parameter transfer, with the checksum value replaced with an invalid value.<br>
<br>
<br>
TEST 4. PARAMETER SENDING IN STARTUP (Table test with debugger)<br>
<br>
1. Start up the system.<br>
<br>
2. Adjust the ACR parameters to non-default values, and write down the parameter values. Use values that can be verified also by system behaviour (adjust joystick values so that you can see that the parameters are correct from the joystick value).<br>
<br>
3. Prepare CANalyzer for logging the parameter CAN messages, or prepare for capturing a CAN log.<br>
<br>
4. Restart the system.<br>
<br>
5. Capture a CAN log from the start-up. Verify from the CAN log that all parameter values that are sent, are exactly the same as set in phase 2.<br>
<br>
6. Verify the operation of the ACR parameter flags in ACR status message. When ACR starts up, the ""INVALID PARAMETERS"" flag must be set. After ACR has received new parameters, the flag must be cleared. When ACR is in parameter receive state, the flag ""SET PARAMETER STATE"" must be set, and when the first parameter is received by ACR, the flag ""RECEIVING PARAMETERS"" must be set.<br>
<br>
7. Verify from joystick values ACR is using the new parameter values.<br>
<br>
<br>
TEST 5. PARAMETER CHANGE IN NORMAL OPERATION<br>
<br>
1. Start up the system.<br>
<br>
2. Adjust ACR left joystick X minimum value parameter. Verify from CAN bus that the new parameter value is sent.<br>
<br>
3. Check that ACR changes state back to normal after receiving new parameter.<br>
<br>
4. Verify from joystick value that ACR is using the new parameter value.<br>
<br>
5. Adjust all ACR parameters, one by one, and verify that all parameters can be adjusted, and the new values are sent after each change, and that the parameters take effect.<br>
<br>
6. Verify the parameter limits for all parameters. Check that an alarm for a parameter exceeding the limits is sent.<br>
<br>
<br>
TEST 6. CHECKSUM FAILURE<br>
<br>
1. Verify ACR parameter checksum verification by sending an invalid checksum. This can be done by sending a log file to CAN bus for the parameter transfer, with the checksum value replaced with an invalid value."	""	""	""	""		
JDF Hera	1.2.7	31606	Calibration	""	"TEST 1. NORMAL CALIBRATION, LEFT JOYSTICK (Table test)<br>
<br>
1. Start up the system<br>
<br>
2. Set all the joystick parameters to default values <br>
<br>
3. Check the joystick values at all mechanical stops to verify that the calibration is not correct (the values will not reach 1000, or the value goes to 1000 before the joystick has reached the mechanical stop).<br>
<br>
4. Start left main joystick calibration<br>
<br>
5. Verify from ACL status message that ACL has set the ""SET_PARAMETER_STATE"" flag, and that it is sending raw analog values (joystick value ~512).<br>
<br>
6. Turn the left joystick to all mechanical stops. Verify that the raw analog values sent by ACL match with the values shown in the PC screen. Write down the minimum and maximum values.<br>
<br>
7. Return the joystick to the middle position. Write down the center position value, and check that it matches the PC center point value.<br>
<br>
8. Press ""Save"" button in PC.<br>
<br>
9. Verify from ACL status message that ACL has cleared the ""SET_PARAMETER_STATE"" flag, and that it is sending scaled joystick values (joystick value 0).<br>
<br>
10. Check that CAB sends the new parameters to ACL. Verify that the minimum values are 10 units greater and maximum values are 10 units less than written down in step 2. Check that zero point value is the same as written down in steps 6 and 7.<br>
<br>
11. After ACL has received new parameters, and returned to normal operating mode, check that the joystick value is scaled between 0 and 1000 to both directions.<br>
<br>
12. Check from the EJM1 message that the joystick direction bits are set correctly (left and right direction).<br>
<br>
<br>
TEST 2. NORMAL CALIBRATION, RIGHT JOYSTICK (Table test)<br>
<br>
1. Start up the system<br>
<br>
2. Set all the joystick parameters to default values <br>
<br>
3. Check the joystick values at all mechanical stops to verify that the calibration is not correct (the values will not reach 1000, or the value goes to 1000 before the joystick has reached the mechanical stop).<br>
<br>
4. Start right main joystick calibration<br>
<br>
5. Verify from ACR status message that ACR has set the ""SET_PARAMETER_STATE"" flag, and that it is sending raw analog values (joystick value ~512).<br>
<br>
6. Turn the right joystick to all mechanical stops. Verify that the raw analog values sent by ACR match with the values shown in the PC screen. Write down the minimum and maximum values.<br>
<br>
7. Return the joystick to the middle position. Write down the center position value, and check that it matches the PC center point value.<br>
<br>
8. Press ""Save"" button in PC.<br>
<br>
9. Verify from ACR status message that ACR has cleared the ""SET_PARAMETER_STATE"" flag, and that it is sending scaled joystick values (joystick value 0).<br>
<br>
10. Check that CAB sends the new parameters to ACR. Verify that the minimum values are 10 units greater and maximum values are 10 units less than written down in step 2. Check that zero point value is the same as written down in steps 6 and 7.<br>
<br>
11. After ACR has received new parameters, and returned to normal operating mode, check that the joystick value is scaled between 0 and 1000 to both directions.<br>
<br>
12. Check from the EJM2 message that the joystick direction bits are set correctly (left and right direction).<br>
<br>
<br>
TEST 3. LOST PC CONNECTION DURING CALIBRATION, LEFT (Table test)<br>
<br>
1. Set the left joystick parameters to default values<br>
<br>
2. Check the joystick values at both mechanical stops to verify that the calibration is not correct (the values will not reach 1000, or the value goes to 1000 before the joystick has reached the mechanical stop). Write down the joystick values at each end.<br>
<br>
3. Start left main joystick calibration<br>
<br>
4. Turn the joystick to all mechanical stops.  Write down the minimum and maximum values.<br>
<br>
5. Shut down the PC client software by killing the process.<br>
<br>
6. Verify from the ACL status message, that ACL will exit calibration mode, and will restore the normal operating mode.<br>
<br>
7. Check the joystick values at both mechanical stops. Verify that the values are the same as written down in step 2.<br>
<br>
<br>
TEST 4. LOST PC CONNECTION DURING CALIBRATION, RIGHT (Table test)<br>
<br>
1. Set the right joystick parameters to default values<br>
<br>
2. Check the joystick values at both mechanical stops to verify that the calibration is not correct (the values will not reach 1000, or the value goes to 1000 before the joystick has reached the mechanical stop). Write down the joystick values at each end.<br>
<br>
3. Start right main joystick calibration<br>
<br>
4. Turn the joystick to all mechanical stops.  Write down the minimum and maximum values.<br>
<br>
5. Shut down the PC client software by killing the process.<br>
<br>
6. Verify from the ACR status message, that ACR will exit calibration mode, and will restore the normal operating mode.<br>
<br>
7. Check the joystick values at both mechanical stops. Verify that the values are the same as written down in step 2.<br>
<br>
<br>
TEST 5. CANCELING CALIBRATION, LEFT (Table test)<br>
<br>
1. Set the left joystick parameters to default values (min. 124, zero point 512, max. 900)<br>
<br>
2. Check the joystick values at both mechanical stops to verify that the calibration is not correct (the values will not reach 1000, or the value goes to 1000 before the joystick has reached the mechanical stop). Write down the joystick values at each end.<br>
<br>
3. Start left main joystick calibration<br>
<br>
4. Turn the joystick to both mechanical stops.  Write down the minimum and maximum values.<br>
<br>
5. Press ""Cancel"" on the PC GUI.<br>
<br>
6. Verify from the ACL status message, that ACL will exit calibration mode, and will restore the normal operating mode.<br>
<br>
7. Check the joystick values at both mechanical stops. Verify that the values are the same as written down in step 2.<br>
<br>
<br>
TEST 6. CANCELING CALIBRATION, RIGHT (Table test)<br>
<br>
1. Set the right joystick parameters to default values (min. 124, zero point 512, max. 900)<br>
<br>
2. Check the joystick values at both mechanical stops to verify that the calibration is not correct (the values will not reach 1000, or the value goes to 1000 before the joystick has reached the mechanical stop). Write down the joystick values at each end.<br>
<br>
3. Start right main joystick calibration<br>
<br>
4. Turn the joystick to both mechanical stops.  Write down the minimum and maximum values.<br>
<br>
5. Press ""Cancel"" on the PC GUI.<br>
<br>
6. Verify from the ACR status message, that ACR will exit calibration mode, and will restore the normal operating mode.<br>
<br>
7. Check the joystick values at both mechanical stops. Verify that the values are the same as written down in step 2.<br>
<br>
<br>
TEST 7. NORMAL CALIBRATION, BOOM TILT JOYSTICK (Table test)<br>
<br>
1. Start up the system<br>
<br>
2. Set all the tilt joystick parameters to default values <br>
<br>
3. Check the joystick values at all mechanical stops to verify that the calibration is not correct (the values will not reach 1000, or the value goes to 1000 before the joystick has reached the mechanical stop).<br>
<br>
4. Start boom tilt joystick calibration<br>
<br>
5. Verify from ACR status message that ACR has set the ""SET_PARAMETER_STATE"" flag, and that it is sending raw analog values (joystick value ~512).<br>
<br>
6. Turn the tilt joystick to all mechanical stops. Verify that the raw analog values sent by ACL match with the values shown in the PC screen. Write down the minimum and maximum values.<br>
<br>
7. Return the joystick to the middle position. Write down the center position value, and check that it matches the PC center point value.<br>
<br>
8. Press ""Save"" button in PC.<br>
<br>
9. Verify from ACR status message that ACR has cleared the ""SET_PARAMETER_STATE"" flag, and that it is sending scaled joystick values (joystick value 0).<br>
<br>
10. Check that CAB sends the new parameters to ACR. Verify that the minimum values are 10 units greater and maximum values are 10 units less than written down in step 2. Check that zero point value is the same as written down in steps 6 and 7.<br>
<br>
11. After ACR has received new parameters, and returned to normal operating mode, check that the joystick value is scaled between 0 and 1000 to both directions.<br>
<br>
12. Check from the BJM2 message that the joystick direction bits are set correctly (left and right direction).<br>
<br>
<br>
TEST 8. LOST PC CONNECTION DURING CALIBRATION, TILT (Table test)<br>
<br>
1. Set the tilt joystick parameters to default values<br>
<br>
2. Check the joystick values at both mechanical stops to verify that the calibration is not correct (the values will not reach 1000, or the value goes to 1000 before the joystick has reached the mechanical stop). Write down the joystick values at each end.<br>
<br>
3. Start boom tilt joystick calibration<br>
<br>
4. Turn the joystick to all mechanical stops.  Write down the minimum and maximum values.<br>
<br>
5. Shut down the PC client software by killing the process.<br>
<br>
6. Verify from the ACR status message, that ACR will exit calibration mode, and will restore the normal operating mode.<br>
<br>
7. Check the joystick values at both mechanical stops. Verify that the values are the same as written down in step 2.<br>
<br>
<br>
TEST 9. CANCELING CALIBRATION, TILT (Table test)<br>
<br>
1. Set the tilt joystick parameters to default values (min. 220, zero point 512, max. 800)<br>
<br>
2. Check the joystick values at both mechanical stops to verify that the calibration is not correct (the values will not reach 1000, or the value goes to 1000 before the joystick has reached the mechanical stop). Write down the joystick values at each end.<br>
<br>
3. Start boom tilt joystick calibration<br>
<br>
4. Turn the joystick to both mechanical stops.  Write down the minimum and maximum values.<br>
<br>
5. Press ""Cancel"" on the PC GUI.<br>
<br>
6. Verify from the ACR status message, that ACR will exit calibration mode, and will restore the normal operating mode.<br>
<br>
7. Check the joystick values at both mechanical stops. Verify that the values are the same as written down in step 2.<br>
<br>
<br>
TEST 10. NORMAL CALIBRATION, STEERING JOYSTICK (Table test)<br>
<br>
1. Start up the system<br>
<br>
2. Set all the steering joystick parameters to default values (min. 180, zero point 512, max. 850)<br>
<br>
3. Check the joystick values at all mechanical stops to verify that the calibration is not correct (the values will not reach 1000, or the value goes to 1000 before the joystick has reached the mechanical stop).<br>
<br>
4. Start the joystick calibration<br>
<br>
5. Verify from ACL status message that ACL has set the ""SET_PARAMETER_STATE"" flag, and that it is sending raw analog values (joystick value ~512).<br>
<br>
6. Turn the joystick to mechanical ends. Verify that the raw analog values sent by ACL match with the values shown in the PC screen. Write down the minimum and maximum values.<br>
<br>
7. Return the joystick to the middle position. Write down the center position value, and check that it matches the PC center point value.<br>
<br>
8. Press ""Save"" button in PC.<br>
<br>
9. Verify from ACL status message that ACL has cleared the ""SET_PARAMETER_STATE"" flag, and that it is sending scaled joystick values (joystick value 0).<br>
<br>
10. Check that CAB sends the new parameters to ACL. Verify that the minimum values are 10 units greater and maximum values are 10 units less than written down in step 2. Check that zero point value is the same as written down in steps 6 and 7.<br>
<br>
11. After ACL has received new parameters, and returned to normal operating mode, check that the joystick value is scaled between 0 and 1000 to both directions.<br>
<br>
12. Check from the BJM1 message that the joystick direction bits are set correctly (left and right direction).<br>
<br>
<br>
TEST 11. CANCELING CALIBRATION, STEERING (Table test)<br>
<br>
1. Set the steering joystick parameters to default values (min. 180, zero point 512, max. 850)<br>
<br>
2. Check the joystick values at both mechanical stops to verify that the calibration is not correct (the values will not reach 1000, or the value goes to 1000 before the joystick has reached the mechanical stop). Write down the joystick values at each end.<br>
<br>
3. Start the joystick calibration<br>
<br>
4. Turn the joystick to both mechanical ends.  Write down the minimum and maximum values.<br>
<br>
5. Press ""Cancel"" on the PC GUI.<br>
<br>
6. Verify from the ACL status message, that ACL will exit calibration mode, and will restore the normal operating mode.<br>
<br>
7. Check the joystick values at both mechanical stops. Verify that the values are the same as written down in step 2."	""	""	""	""		
JDF Hera	1.2.8	31645	Fault monitoring	""	"TEST 1. LOW INPUT VOLTAGE<br>
<br>
1. Start up the system with normal input voltage to ACL and ACR (24V)<br>
<br>
2. Adjust the ACL input voltage lower, until an alarm for the input voltage being too low is sent. <br>
<br>
3. Check that the undervoltage indication bit is set in the ACL status message.<br>
<br>
4. Adjust the ACR input voltage lower, until an alarm for the input voltage being too low is sent. <br>
<br>
5. Check that the undervoltage indication bit is set in the ACR status message.<br>
<br>
<br>
TEST 2. HIGH INPUT VOLTAGE<br>
<br>
1. Start up the system with normal input voltage to ACL and ACR (24V)<br>
<br>
2. Adjust the ACL input voltage higher, until an alarm for the input voltage being too high is sent. <br>
<br>
3. Check that the overvoltage indication bit is set in the ACL status message.<br>
<br>
4. Adjust the ACR input voltage higher, until an alarm for the input voltage being too high is sent. <br>
<br>
5. Check that the overvoltage indication bit is set in the ACR status message."	""	""	""	""		
JDF Hera	1.3	31598	SAFETY	""	""	""	""	""	""		
JDF Hera	1.3.1	31607	Parameter validity	""	"TEST 1. PARAMETER RECEIVING AT STARTUP (dubugger test)<br>
<br>
1. Prepare debugger to be able to connect to left main board<br>
<br>
2. Set all left panel parameters to non default values e.g. deviation of defaults by one for example<br>
<br>
3. Shut down the system, wait for CAN to go down and start up<br>
<br>
4. One-by-one check all parameters that they are excatly what was set by CAB module parameters (off by one)<br>
<br>
5. Repeat steps 1-4 to right board too<br>
<br>
TEST 2. PARAMETER RECEIVING ON CHANGE (dubugger test)<br>
<br>
1. Prepare debugger to be able to connect to left main board<br>
<br>
2. Change all left parameters on-by-one and check that the correct value is recieved by the board<br>
<br>
3. Prepare debugger to be able to connect to right main board<br>
<br>
4. Change all right parameters on-by-one and check that the correct value is recieved by the board"	""	""	""	""		
JDF Hera	1.3.2	31608	Buttons at start up	""	"TEST 1. BUTTON PRESSED AT STARTUP<br>
<br>
1. Ensure that boom goes on when pressing boom button (preconditions for boom operations are OK)<br>
<br>
2. Switch off the power<br>
<br>
3. Hold boom button down and turn power on (RUN1)<br>
<br>
4. See that boom does not go on and ""button-pressed-on-startup"": SPN 523001 FMI 31 error is send from ACL<br>
<br>
5. Release the button. Check that the error goes off.<br>
<br>
6. Press the boom button again. Check that boom activates normally."	""	""	""	""		
JDF Hera	1.3.3	31609	Steering joystick	""	""	""	""	""	""		
JDF Hera	1.3.4	31610	Boom and pilar tilt joysticks	""	""	""	""	""	""		
JDF Hera	1.3.5	31611	Button down too long time	""	"TEST 1. BUTTON PRESSED TOO LONG<br>
<br>
1. Switch on the power<br>
<br>
2. Hold any button down for over 60 seconds.<br>
<br>
4. See that ""button-pressed-over-60-seconds"" SPN 523002 FMI 31 error is send from ACL<br>
<br>
5. Release the button. Check that the error goes off."	""	""	""	""		
JDF Hera	1.3.6	31622	Four or more buttons pressed simultaneously	""	"TEST 1. TOO MANY BUTTONS PRESSED AT THE SAME TIME<br>
<br>
1. Switch on the power<br>
<br>
2. Hold any four buttons down at the same time.<br>
<br>
3. See that ""too-many-buttons-pressed"" SPN 523003 FMI 31 error is send from ACL<br>
<br>
4. Release one of the buttons. Check that the error goes off."	""	""	""	""		
JDF Hera	1.3.7	31624	Armrest tilt switch	""	"TEST 1. CHECK APPROXIMATE ANGLES OF HANDPANEL TILT ANGLE SAFETY FEATURE ACTIVATION<br>
<br>
1. Switch on the power.<br>
<br>
2. Check that parameter CAB:7115:ARMREST_TILT_UP_DETECTION_ENABLED is set to 1<br>
<br>
3. Check that parameters CAB:7116:ARMREST_TILT_DOWN_DETECTION_DELAY and CAB:7117:ARMREST_TILT_UP_DETECTION_DELAY are both 900 (ms)<br>
<br>
4. See that left and right panels are on level (normal operation alignment)<br>
<br>
5. Activate boom to be able to detect automatic boom de-activation<br>
<br>
6. Lift left handpanel straight backwards slowly and see when boom de-activates<br>
<br>
7. Check that de-activation happen at higher angle than 45 degrees but before 90 degrees is achieved. It should be somewhere around 70 degrees."	""	""	""	""		
JDF Hera	1.4	31599	Secondary steering controller	""	""	Secondary steering controller test cases.	""	""	""		
JDF Hera	1.4.1	31612	Steering joystick	""	"TEST 1. POTENTIOMETER INPUT READING AND SCALING (Table test using separate potentiometers)<br>
<br>
1. Start up the system to Primary Normal state.<br>
<br>
2. Set steering joystick min, max and zero point values to default values.<br>
<br>
3. Switch off potentiometer 2 and 3 signals.<br>
<br>
4. Set the potentiometer 1 value to 890 mV. Check that the steering value is 1000, and steering RIGHT position status is active.<br>
<br>
5. Set the potentiometer 1 value to 2540 mV. Check that the steering value is 0, and steering NEUTRAL position status is active.<br>
<br>
6. Set the potentiometer 1 value to 4220 mV. Check that the steering value is 1000, and steering LEFT position status is active.<br>
<br>
7. Set the potentiometer 1 value to maximum (about 5080 mV). Change potentiometer slowly to 0 mV and use CANalyzator to analyze that the signal changes constantly without clitches and relatively smoothly as the potentiometer is turned.<br>
<br>
8. Switch off potentiometer 1 and 3 signals, activate signal 2.<br>
<br>
9. Set the potentiometer 2 value to 890 mV. Check that the steering value is 1000, and steering RIGHT position status is active.<br>
<br>
10. Set the potentiometer 2 value to 2540 mV. Check that the steering value is 0, and steering NEUTRAL position status is active.<br>
<br>
11. Set the potentiometer 2 value to 4220 mV. Check that the steering value is 1000, and steering LEFT position status is active.<br>
<br>
12. Set the potentiometer 2 value to maximum (about 5080 mV). Change potentiometer slowly to 0 mV and use CANalyzator to analyze that the signal changes constantly without clitches and relatively smoothly as the potentiometer is turned.<br>
<br>
13. Switch off potentiometer 1 and 2 signals, activate signal 3.<br>
<br>
14. Set the potentiometer 3 value to 890 mV. Check that the steering value is 1000, and steering RIGHT position status is active.<br>
<br>
15. Set the potentiometer 3 value to 2540 mV. Check that the steering value is 0, and steering NEUTRAL position status is active.<br>
<br>
16. Set the potentiometer 3 value to 4220 mV. Check that the steering value is 1000, and steering LEFT position status is active.<br>
<br>
17. Set the potentiometer 3 value to maximum (about 5080 mV). Change potentiometer slowly to 0 mV and use CANalyzator to analyze that the signal changes constantly without clitches and relatively smoothly as the potentiometer is turned.<br>
<br>
TEST 2. JOYSTICK INPUT READING AND CONSISTENCY (Table test using actual steering joystick)<br>
<br>
1. Start up the system to Primary Normal state.<br>
<br>
2. Set steering joystick min, max and zero point values to default values.<br>
<br>
3. Turn the joystick very slowly to LEFT untill mechanical end is reached and use CANalyzator to analyze that the signal changes constantly without clitches and relatively smoothly as the joystick is turned.<br>
<br>
4. Turn the joystick very slowly to MIDDLE (stays there automatically) and use CANalyzator to analyze that the signal changes constantly without clitches and relatively smoothly as the joystick is turned.<br>
<br>
5. Turn the joystick very slowly to RIGHT untill mechanical end is reached and use CANalyzator to analyze that the signal changes constantly without clitches and relatively smoothly as the joystick is turned.<br>
<br>
6. Turn the joystick very slowly to MIDDLE (stays there automatically) and use CANalyzator to analyze that the signal changes constantly without clitches and relatively smoothly as the joystick is turned."	SSC reads signals from the joystick outputs and filters them. The data is used for steering control in Secondary Safe mode.	A. Controller is in STANDBY (Primary Normal / Primary Safe) operation mode or Secondary Safe mode	""	""		
